feature,importance
transaction_count,0.22126889957454846
cluster_5,0.10438554200800806
unique_mcc,0.10016953866972933
unique_merchants,0.09127889250981029
unique_cities,0.0795009956374514
personal_care_pct,0.031493727018395416
grocery_pct,0.02798303743330091
chip_pct,0.026491853834839346
fuel_pct,0.025526877124478077
telecom_pct,0.02443800403245001
financial_services_pct,0.02279791458688408
tenure,0.021399707478171475
entertainment_pct,0.019644223709499798
utilities_pct,0.01913230682463118
refund_rate,0.017929248688884836
fraud_rate,0.01718182997737166
auto_pct,0.016577851080665302
healthcare_pct,0.015561468878847701
dining_pct,0.014786977326456747
insurance_pct,0.014073114956375457
error_rate,0.0138541942814956
transport_pct,0.013634476544545021
online_pct,0.013554614849797543
retail_pct,0.013355375544239458
swipe_pct,0.01281827678475059
home_improvement_pct,0.011472792537163804
education_pct,0.009688258107208605
